order_id,product_name,supplier_name,order_date,delivery_date,quantity,reorder_level,status,delay_days,is_delayed,needs_reorder,cumulative_quantity
1,Steel Rods,Alpha Supplies,2024-05-01,2024-05-06,100.0,100.0,Delivered,392,1,0,100.0
2,Aluminum Sheets,Beta Traders,2024-05-02,2024-05-12,150.0,150.0,Pending,386,1,0,250.0
3,Copper Wires,Gamma Corp,2024-05-05,2024-05-15,80.0,100.0,Delivered,383,1,1,330.0
4,Plastic Tubes,Delta Distributors,2024-05-07,2024-05-16,300.0,200.0,Shipped,382,1,0,630.0
5,Rubber Gaskets,Epsilon Exporters,2024-05-09,2024-05-14,60.0,80.0,Cancelled,384,1,1,690.0
6,Glass Panels,Zeta Logistics,2024-05-10,2024-05-18,50.0,50.0,Delivered,380,1,0,740.0
7,Iron Bolts,Eta Goods,2024-05-11,2024-05-21,120.0,300.0,Pending,377,1,1,860.0
8,Ceramic Tiles,Theta Manufacturing,2024-05-13,2024-05-19,70.0,100.0,Shipped,379,1,1,930.0
9,PVC Pipes,Iota Wholesale,2024-05-14,2024-05-20,250.0,250.0,Delivered,378,1,0,1180.0
10,Wooden Planks,Kappa Supply Co.,2024-05-15,2024-05-25,90.0,200.0,Pending,373,1,1,1270.0
12,Rubber Gaskets,Epsilon Exporters,2024-05-17,2024-05-23,200.0,80.0,,375,1,0,1470.0
14,Glass Panels,Zeta Logistics,2024-05-18,2024-05-26,90.0,,Shipped,372,1,0,1560.0
15,Ceramic Tiles,Theta Manufacturing,2024-05-20,2024-05-27,,100.0,Cancelled,371,1,0,
